RCPs,RegName,Data_  1,Data_  2,Data_  3,Data_  4,Data_  5,Data_  6,Data_  7,Data_  8,Data_  9,Data_ 10,Data_ 11,Data_ 12,Data_ 13,Data_ 14,Data_ 15,Data_ 16,Data_ 17,Data_ 18,Data_ 19,Data_ 20,Data_ 21,Data_ 22,Data_ 23,Data_ 24,Data_ 25,Data_ 26,Data_ 27,Data_ 28,Data_ 29,Data_ 30,Data_ 31,Data_ 32,Data_ 33,Data_ 34,Data_ 35,Data_ 36,Data_ 37,Data_ 38,Data_ 39,Data_ 40,Data_ 41,Data_ 42,Data_ 43,Data_ 44,Data_ 45,Data_ 46,Data_ 47,Data_ 48,Data_ 49,Data_ 50,Data_ 51,Data_ 52,Data_ 53,Data_ 54,Data_ 55,Data_ 56,Data_ 57,Data_ 58,Data_ 59,Data_ 60,Data_ 61,Data_ 62,Data_ 63,Data_ 64,Data_ 65,Data_ 66,Data_ 67,Data_ 68,Data_ 69,Data_ 70,Data_ 71,Data_ 72,Data_ 73,Data_ 74,Data_ 75,Data_ 76,Data_ 77,Data_ 78,Data_ 79,Data_ 80,Data_ 81,Data_ 82,Data_ 83,Data_ 84,Data_ 85,Data_ 86,Data_ 87,Data_ 88,Data_ 89,Data_ 90,Data_ 91,Data_ 92,Data_ 93,Data_ 94,Data_ 95,Data_ 96,Data_ 97,Data_ 98,Data_ 99,Data_100,Data_101,Data_102,Data_103,Data_104,Data_105,Data_106,Data_107,Data_108,Data_109,Data_110,Data_111,Data_112,Data_113,Data_114,Data_115,Data_116,Data_117,Data_118,Data_119
RCP2.6,	OXFORD,3764,3820.2,3981.4,3926.1,3867.6,3828.8,3793.2,3905.3,3744.2,3788.2,3671.5,3894.3,3817.2,3724.6,3705,3721.3,3718.7,3665.3,3633.8,3655.5,3709.1,3601.7,3638.3,3664.5,3634.9,3666.7,3656.5,3632.9,3560.1,3577.1,3513.2,3510.6,3529.3,3565.4,3576.2,3444.4,3420.7,3465.4,3440.1,3431.4,3433.5,3412.4,3357.9,3371,3474.8,3504.6,3373.8,3434.9,3396.1,3427.9,3358.4,3407.6,3409.5,3333.9,3365,3295.4,3268.4,3329.1,3293.1,3283.8,3207.7,3257.8,3282.7,3342.2,3248.7,3281.8,3256.5,3202.1,3224.7,3274.3,3237.8,3284.1,3265.6,3228,3229.3,3293.4,3288.4,3279.6,3268.2,3285.2,3263.4,3284.7,3281.3,3279.1,3197.2,3229.4,3270.5,3196.1,3278.5,3340.6,3308.7,3278.8,3228.5,3310.5,3305.3,3278.8,3240.4,3218.6,3266.5,3293.9,3350.1,3326.6,3253.5,3242.7,3330.6,3240,3235.2,3210.9,3240.5,3303,3268.8,3339.4,3356.9,3287.6,3338.6,3289.1,3332.9,3295.9,3287.7
RCP2.6,	PARRY-SOUND,4803.7,4875.2,5050.4,4990.1,4921.1,4906.5,4845.4,4970.3,4784.6,4778.3,4743.2,4966,4853,4768.1,4762.5,4750.8,4746.9,4685.4,4652.2,4675.1,4760.2,4627.4,4655.4,4698.2,4663.4,4725.9,4695.7,4624.1,4540.6,4607.5,4494.9,4501.4,4522.7,4572.6,4532.9,4406,4422.4,4468.3,4394.3,4400.9,4413.3,4373.1,4339.9,4373.6,4444.5,4483.5,4338,4365.9,4371.4,4400.9,4341.1,4339.5,4392.3,4290.9,4319.6,4242.2,4217.4,4274.8,4221.2,4229.7,4132.1,4174.2,4245.1,4297.1,4204.2,4190.1,4168.1,4141,4155.7,4205,4173.9,4217.4,4217.2,4135.2,4172.4,4197.5,4239.8,4206.7,4187,4202.5,4206.1,4219.8,4212.1,4182.9,4096.5,4159.9,4170.3,4086.8,4209.4,4265.5,4234.1,4225.1,4141.5,4213.5,4250.2,4202.9,4176.9,4172.4,4194.5,4218.9,4264.2,4263.3,4206.3,4161.5,4241,4162,4171.3,4129.2,4185.5,4239.6,4217.6,4269.6,4289.4,4269,4252,4236.8,4274.6,4234.3,4262.1
RCP2.6,	PEEL,3981.8,4026.3,4206,4144.8,4082.8,4057.6,4008.4,4117,3958.5,3988.4,3886.4,4104.9,4025.5,3943.4,3912.7,3931.3,3928.6,3871.8,3831.9,3860.7,3917.8,3798.8,3836,3869.7,3846.8,3877.4,3852.1,3822.8,3755.9,3785.7,3692.8,3702,3729.4,3767.5,3766.6,3625.1,3613.4,3663.1,3617.1,3621.2,3620.6,3605.5,3547.4,3571.2,3663.8,3696.5,3559,3618.7,3593.8,3614.9,3544.3,3581.1,3600.3,3513.4,3544.6,3473.5,3453.7,3509.2,3463.6,3457.5,3378.6,3426.4,3461.7,3520.4,3428.6,3451.7,3421.3,3373.4,3388.2,3442.8,3405.6,3459.8,3437,3396.7,3402.3,3465.8,3467.9,3457.5,3443.3,3457.2,3444.5,3466.3,3452.1,3450.7,3364,3402.8,3429.5,3362.7,3455.1,3507.9,3483.6,3455.5,3398.2,3477.4,3482.1,3451.6,3410.1,3400.3,3436.3,3464.6,3514.9,3504.6,3431.6,3416.1,3500.1,3407.9,3413.3,3380.4,3421.2,3478.1,3443.8,3516.3,3533.3,3468,3511,3468.7,3515.4,3467.9,3473.3
RCP2.6,	PERTH,3919.2,3976.9,4151.1,4090.3,4029.5,3994.3,3955,4062.6,3898.8,3941.1,3830.2,4055.7,3973.5,3880.9,3858.5,3872.3,3871.1,3819.9,3783.1,3807,3864,3750.1,3784.9,3808.8,3785.6,3818.2,3806.7,3775,3702.1,3727.4,3656.9,3656.8,3673.8,3708.9,3716.1,3580.2,3558.2,3606.1,3575.6,3570.6,3572.3,3545.6,3492.5,3511.6,3612.5,3643.5,3507.2,3567.6,3532.1,3565.8,3498.4,3539.4,3545.7,3465.6,3497.2,3428.3,3399.2,3463.3,3422,3415.6,3331.4,3382.2,3416.5,3475.4,3380,3408.7,3384.7,3331.5,3349.7,3399.7,3363.1,3414.2,3392.7,3353.7,3352.1,3419.1,3419.4,3403,3390.8,3412.1,3389.3,3410.3,3411.7,3403.7,3323.4,3354.8,3396.7,3320.6,3403.4,3469.5,3436.5,3409.9,3351.3,3431,3432.3,3402.8,3371.3,3345.8,3392.6,3420.3,3476.4,3457.3,3384.3,3368.1,3455.9,3365.4,3366.8,3334.4,3367.3,3432.5,3399.7,3465.8,3483.8,3419.2,3468.2,3416.2,3461.9,3425,3417.5
RCP2.6,	PETERBOROUGH,4352.1,4386.6,4571.9,4518.9,4451.2,4438.1,4376.3,4483,4329.2,4338.1,4272.2,4477.3,4397.6,4313.9,4284.7,4289.9,4302.6,4227.2,4194.1,4215.3,4283.7,4160.1,4195.2,4242.7,4215.5,4253.7,4217.1,4175.3,4111.9,4148,4042.5,4054.2,4082.5,4124.6,4106.8,3977.8,3977.4,4026.5,3963,3974.9,3982.5,3964.2,3899.1,3942.9,3998,4048.7,3915.8,3964.8,3946.8,3972.6,3899.1,3920.7,3966.8,3867,3890.1,3824,3810.6,3852,3811.8,3810.7,3732.6,3763.6,3822.8,3870.7,3787.3,3784.2,3753,3724.5,3744.7,3794.6,3762.8,3811.6,3793.4,3743.5,3763.8,3816.3,3820.4,3809.4,3793.7,3801.8,3805.4,3821.3,3799.1,3787.1,3703.2,3763.8,3762.3,3697,3808.8,3851.1,3835.1,3809.7,3734.2,3825.2,3830.9,3802.2,3762.6,3761,3783.5,3810.5,3853.7,3855.1,3794,3761.1,3838.9,3760.3,3770.6,3729.5,3780.5,3819.3,3785.2,3862.4,3887,3831.2,3854.3,3820.7,3869.4,3809.7,3844.2
RCP2.6,	PRESCOTTandRUSSELL,4464.4,4493,4667.9,4630.7,4551.6,4550.3,4479.6,4571.5,4448,4439.7,4411.9,4588.5,4501.1,4442.4,4401.8,4397.8,4427.6,4334.4,4320.7,4319.5,4386,4269.5,4307.5,4356,4326.3,4365.9,4312.2,4288.1,4220.4,4258.9,4159.3,4156.9,4188.1,4237.5,4217.9,4089.8,4082.2,4122.6,4057.7,4070.5,4110.6,4077.2,4002.6,4082.2,4086.4,4141.3,4026.6,4058.4,4040,4080.8,4006.8,4027.1,4079.2,3981.2,3982.6,3932.9,3923.5,3946.6,3919.5,3913.3,3834.7,3862.6,3928.7,3963,3898.4,3855.7,3837.6,3827.3,3876.6,3901.6,3876.4,3905,3918.6,3844.9,3874.9,3911.4,3923.7,3920.7,3916.9,3901.8,3910.4,3936,3909.2,3891.7,3789.2,3879.5,3848.5,3797.7,3912.7,3945.3,3936.9,3910,3846.5,3938.2,3942.8,3914.8,3852.3,3878,3888.7,3907,3942.8,3956.4,3918.4,3877.3,3929.4,3842.1,3872.9,3819.4,3887.4,3908.4,3876.1,3976,3989.5,3936.4,3934.2,3922.1,3965,3907.1,3964.2
RCP2.6,PRINCE-EDWARD,3967.2,3981.1,4161.4,4110.3,4045.5,4037.9,3977.7,4067.2,3944,3954.2,3888,4073.1,4002.6,3921.2,3900.5,3905.4,3924.7,3856.2,3824.9,3840,3895.9,3788.5,3825.4,3863.8,3846.2,3883.1,3839.4,3816,3758.6,3787.6,3693.7,3713.9,3729.6,3768.5,3763.9,3643.6,3637.1,3681.2,3630.7,3640.9,3643.7,3630.9,3569.2,3613.9,3660.8,3701.5,3582.5,3645.4,3613.6,3642.4,3570.2,3598,3628.4,3544.7,3567.4,3506.8,3503.3,3540.5,3507.9,3496.3,3430.1,3456.1,3510.7,3556.9,3480.6,3476.6,3449.8,3419.2,3443.9,3484,3465.4,3503,3486.2,3450.9,3458,3508.2,3508.9,3506,3490.6,3492.3,3493.3,3520.2,3496.8,3488.4,3408,3465.7,3456.4,3398.6,3502.8,3542.8,3522.8,3500.4,3437.1,3518.1,3511.8,3502.6,3458.4,3452,3475.8,3499,3540.2,3546.2,3488.4,3465.4,3525.4,3459.7,3465,3421.4,3472.1,3511.2,3472,3551.2,3565.3,3509.6,3535.2,3513.6,3546.4,3498.9,3523.2
RCP2.6,	RAINY-RIVER,5513,5657.7,5747.2,5633.7,5650.9,5593,5616.4,5682.7,5527.9,5550.9,5417,5716.4,5543,5434.7,5509.7,5488.8,5430.6,5451.3,5349.2,5355.2,5553,5336.2,5371.6,5390.3,5375,5409.9,5397,5301.5,5166.6,5272.3,5321.4,5159.8,5160.2,5251.9,5231.7,4965.4,5174.9,5176.1,5101.7,5093.6,5049.8,5055.3,5017.1,4988.4,5177.9,5230,4989.2,5039.2,5032.8,5020.1,5102.2,5094.3,5081.9,4964.5,5000,4978.3,4941.8,4998.4,4886.1,4926.9,4948.7,4965.4,4980.9,5024.4,4899.3,4894,4919.6,4889.3,4931.5,4980.7,4826.2,4962.9,5040.8,4854.8,4864.9,4866.9,4962.4,4897.2,4862,4834.9,4883.4,4885.9,5026.4,4875.1,4775.8,4891.2,4969.3,4748.5,4865.9,4983.7,4928.6,4954,4880.3,4882.7,4929.9,4788.5,5026.3,4928.7,4974.9,4887.6,4976.8,4925.1,4989.5,4881.3,4988.2,4853.9,4807.1,4815.2,4799.7,4945.3,4924.6,4948.3,4955.2,5023.2,4947,4949.5,4908.4,4976.1,4845.2
RCP2.6,	RENFREW,4796.4,4848.7,5024.9,4976.5,4904.3,4900.5,4823.3,4935,4781.5,4773.1,4742.2,4942.8,4850.7,4770.9,4751.3,4742.5,4750.5,4679.2,4653.2,4665.1,4735.4,4609.9,4644.7,4693.5,4661.4,4712.5,4677.9,4622.2,4545.8,4598.5,4489.1,4494.7,4522.9,4575.1,4536.7,4410.8,4416.7,4467.2,4396.4,4402.3,4427.6,4390.2,4332.2,4396.5,4430.3,4469.8,4348,4381.1,4373.9,4405.9,4335.5,4350.3,4405.3,4300.9,4311.5,4253.5,4237.3,4279.1,4239.9,4240.3,4148.1,4181.8,4254.3,4300.2,4217.7,4188.2,4162.4,4149,4182,4213.2,4194.1,4227.4,4231.4,4152.4,4190.2,4223.5,4251.8,4221.1,4214.7,4217.9,4230.1,4243.9,4224.2,4198.2,4102.2,4189.1,4175.1,4104.7,4236.8,4269.1,4257.1,4240.7,4154.1,4245,4262.2,4221.9,4179.9,4191.1,4205.5,4236.1,4269.8,4276.3,4229.3,4176.5,4252.7,4171.7,4194.8,4148.4,4210,4231.7,4211.8,4287.9,4305.8,4273.1,4260.6,4242.7,4292.3,4232,4281.7
RCP2.6,	SIMCOE,4287.4,4334.9,4519.7,4457,4389.2,4375.1,4316.7,4430.1,4264.8,4280.4,4203.7,4418.7,4330.4,4249.6,4225.7,4230.1,4231.2,4171.1,4133.4,4163.7,4226.8,4102,4135.8,4172.9,4148.8,4187.4,4157.5,4117.7,4046.8,4087.8,3988.1,3995.2,4022.5,4060.2,4049.1,3910.7,3912.4,3960,3906.9,3908,3911.9,3889.6,3838.4,3869.2,3950.3,3987.3,3846.4,3895.9,3882.9,3903,3834.1,3858.5,3889.2,3800.4,3833.1,3757.6,3740.9,3788.7,3744,3741.8,3657.4,3702,3749.9,3801.5,3717.4,3726.2,3696,3656,3666.9,3722.9,3686.3,3741.1,3720.7,3672.9,3686.1,3740.4,3750.3,3736.5,3715.4,3736.6,3722.2,3741.9,3730.5,3722.4,3638,3678.3,3700.8,3632.3,3729.6,3785.8,3762.9,3741,3669.3,3744.4,3762.1,3728.1,3694.1,3684.4,3718,3742.3,3787.6,3783.4,3717.3,3690.7,3771,3688.4,3696.2,3655.2,3704.9,3759.2,3725.8,3791.1,3813.3,3762.2,3787.8,3748.5,3795.7,3746.6,3769.6
