Year,RCP26,RCP45,RCP60,RCP85
1981,-0.1,-0.2,0.1,-0.1
1982,-0.2,-0.1,-0.3,-0.1
1983,-0.2,-0.2,-0.3,-0.2
1984,-0.2,-0.3,-0.2,-0.2
1985,-0.3,-0.3,-0.2,-0.3
1986,0.1,0,0.2,0
1987,0.2,0,0.1,-0.1
1988,-0.1,-0.1,-0.1,-0.1
1989,-0,0,0.1,0
1990,0.1,0.1,0.2,0
1991,-0,0,-0.4,0
1992,-0.3,-0.1,-0.4,-0.1
1993,-0.2,-0.1,-0.1,-0.1
1994,-0,0,0,0
1995,-0.3,-0.2,-0.1,-0.1
1996,-0.2,-0.1,-0.2,-0.1
1997,-0,0.1,0,0.1
1998,0.1,0,0.3,0
1999,0.1,0.2,0.1,0.1
2000,0.1,-0.1,0.1,-0.1
2001,0.2,0.2,-0.3,0.2
2002,-0.1,-0.1,0.1,0
2003,0.1,0,0.2,0
2004,-0,0,-0.1,0
2005,0.2,0.2,0.2,0.2
2006,0.2,0.4,0.5,0.3
2007,-0.2,0,0.6,0.2
2008,0.2,0.1,0.2,0
2009,0.3,0.1,0.5,0.2
2010,0.4,0.2,0.3,0.3
2011,0.2,0.1,-0.1,0.2
2012,-0,0.1,0.6,0
2013,-0,0.2,0.5,0.1
2014,0.4,0,0.4,0.3
2015,0.1,0.2,0.3,0
2016,0.3,0.3,-0.2,0.2
2017,0.2,-0.1,0.4,0.2
2018,0.3,0.3,0.1,0.2
2019,0.2,0.1,0,0.2
2020,0.4,0.5,0.5,0.1
2021,0.3,0.3,0.1,0.1
2022,0.4,0.3,0.3,0.3
2023,0.4,0.4,0,0.6
2024,0.5,0.3,0.4,0.2
2025,0.4,0.5,0.6,0.3
2026,0.2,0.1,0.4,0.4
2027,0.6,0.3,0.3,0.4
2028,0.4,0.4,0,0.6
2029,0.3,0.1,0.7,0.2
2030,0.5,0.2,0.4,0.4
2031,0.3,0.4,0.2,0.4
2032,0.6,0.5,0,0.6
2033,0.4,0.4,0.3,0.3
2034,0.4,0.1,0.3,0.3
2035,0.6,0.2,0.5,0.7
2036,0.5,0.4,1,0.3
2037,0.5,0.2,0.6,0.4
2038,0.5,0.3,0.2,0.5
2039,0.4,0.7,0.3,0.6
2040,0.4,0.4,0.5,0.5
2041,0.5,0.2,0.7,0.6
2042,0.5,0.4,0.7,0.4
2043,0.2,0.4,1,0.5
2044,0.7,0.4,0.6,0.6
2045,0.9,0.4,0.3,0.6
2046,0.6,0.7,0.6,0.9
2047,0.6,0.5,0.6,0.7
2048,1,0.5,0.6,0.8
2049,0.4,0.5,0.6,0.6
2050,0.5,0.2,0.6,0.7
2051,0.3,0.7,0.4,0.8
2052,0.5,0.6,0.7,0.8
2053,0.3,0.4,1,0.7
2054,0.7,0.9,0.9,0.9
2055,0.4,0.6,0,0.6
2056,0.2,0.5,0.9,0.5
2057,0.5,0.6,0.5,0.8
2058,0.7,0.4,1,1
2059,0.3,0.6,0.6,1
2060,0.1,0.5,1.1,0.7
2061,0.6,0.9,1.1,0.9
2062,0.3,0.5,0.7,0.7
2063,0.7,0.6,0.7,1.1
2064,0.3,0.9,0.6,0.9
2065,0.7,1.1,0.8,1.1
2066,0.4,0.5,0.4,0.9
2067,0.7,0.7,0.8,1
2068,0.2,0.7,1.1,1.1
2069,0.6,0.8,1.1,1.1
2070,0.7,0.5,1,1
2071,0.6,0.5,0.7,1.2
2072,0.5,0.6,0.7,0.9
2073,0.1,0.5,1.5,0.8
2074,0.7,0.8,0.7,1.1
2075,0.5,0.5,1.1,0.9
2076,0.3,0.4,1,1
2077,0.7,0.5,0.9,1.6
2078,0.6,0.6,0.7,1
2079,0.4,0.8,0.8,1.4
2080,0.3,0.9,1.3,1.2
2081,0.4,0.7,1.6,1.2
2082,0.4,0.6,1,1.2
2083,0.2,0.5,1,1.2
2084,0.3,1.1,0.9,1.4
2085,-0,0.7,1.2,1.5
2086,0.3,0.7,0.8,1.3
2087,0.4,0.9,1.2,1.4
2088,0.3,0.7,1.3,1.4
2089,0.4,0.5,1.1,1.3
2090,0.6,0.5,1,1.3
2091,0.4,0.8,1.3,1.5
2092,0.5,0.7,0.5,1.7
2093,0.4,0.9,1.1,1.8
2094,0.7,1,1.1,1.5
2095,0.3,0.6,1,1.6
2096,0.3,0.3,1.1,1.6
2097,0.3,0.9,1.6,1.4
2098,0.3,0.5,1.4,1.5
2099,0.4,0.6,1,1.8
